3.1657 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
114.6818 	EXP 	window1: recordFrameIntervals = False
115.6658 	EXP 	fixation: autoDraw = True
116.6813 	EXP 	fixation: autoDraw = False
116.6813 	EXP 	grating: autoDraw = True
116.6813 	EXP 	grating: tex = 'sin'
116.9675 	EXP 	window1: recordFrameIntervals = False
116.9689 	DATA 	Keypress: left
116.9816 	EXP 	grating: autoDraw = False
116.9816 	EXP 	fixation: autoDraw = False
116.9816 	EXP 	grating: autoDraw = False
116.9819 	EXP 	window1: recordFrameIntervals = False
117.9659 	EXP 	fixation: autoDraw = True
118.9813 	EXP 	fixation: autoDraw = False
118.9813 	EXP 	grating: autoDraw = True
118.9813 	EXP 	grating: tex = 'sin'
119.2811 	EXP 	grating: autoDraw = False
119.3659 	EXP 	window1: recordFrameIntervals = False
119.3667 	DATA 	Keypress: right
119.3811 	EXP 	fixation: autoDraw = False
119.3811 	EXP 	grating: autoDraw = False
119.3812 	EXP 	window1: recordFrameIntervals = False
120.3648 	EXP 	fixation: autoDraw = True
121.3643 	EXP 	fixation: autoDraw = False
121.3811 	EXP 	grating: autoDraw = True
121.3811 	EXP 	grating: tex = 'sin'
121.6811 	EXP 	grating: autoDraw = False
121.7664 	EXP 	window1: recordFrameIntervals = False
121.7673 	DATA 	Keypress: left
121.7817 	EXP 	fixation: autoDraw = False
121.7817 	EXP 	grating: autoDraw = False
121.7819 	EXP 	window1: recordFrameIntervals = False
122.7662 	EXP 	fixation: autoDraw = True
123.7653 	EXP 	grating: autoDraw = True
123.7653 	EXP 	grating: tex = 'sin'
123.7817 	EXP 	fixation: autoDraw = False
124.0650 	EXP 	grating: autoDraw = False
124.1507 	EXP 	window1: recordFrameIntervals = False
124.1520 	DATA 	Keypress: left
124.1648 	EXP 	fixation: autoDraw = False
124.1648 	EXP 	grating: autoDraw = False
124.1651 	EXP 	window1: recordFrameIntervals = False
125.2544 	EXP 	fixation: autoDraw = True
126.1648 	EXP 	grating: autoDraw = True
126.1648 	EXP 	grating: tex = 'sin'
126.2646 	EXP 	fixation: autoDraw = False
126.3847 	EXP 	window1: recordFrameIntervals = False
126.3859 	DATA 	Keypress: right
126.3983 	EXP 	fixation: autoDraw = False
126.3983 	EXP 	grating: autoDraw = False
126.3986 	EXP 	window1: recordFrameIntervals = False
127.3974 	EXP 	fixation: autoDraw = True
128.3980 	EXP 	fixation: autoDraw = False
128.3980 	EXP 	grating: autoDraw = True
128.3980 	EXP 	grating: tex = 'sin'
128.6976 	EXP 	grating: autoDraw = False
128.9001 	EXP 	window1: recordFrameIntervals = False
128.9009 	DATA 	Keypress: right
128.9146 	EXP 	fixation: autoDraw = False
128.9146 	EXP 	grating: autoDraw = False
128.9149 	EXP 	window1: recordFrameIntervals = False
129.8984 	EXP 	fixation: autoDraw = True
130.8978 	EXP 	fixation: autoDraw = False
130.9145 	EXP 	grating: autoDraw = True
130.9145 	EXP 	grating: tex = 'sin'
131.2147 	EXP 	grating: autoDraw = False
131.3167 	EXP 	window1: recordFrameIntervals = False
131.3178 	DATA 	Keypress: left
131.3312 	EXP 	fixation: autoDraw = False
131.3312 	EXP 	grating: autoDraw = False
131.3314 	EXP 	window1: recordFrameIntervals = False
132.3156 	EXP 	fixation: autoDraw = True
133.3314 	EXP 	fixation: autoDraw = False
133.3314 	EXP 	grating: autoDraw = True
133.3314 	EXP 	grating: tex = 'sin'
133.6312 	EXP 	grating: autoDraw = False
133.7334 	EXP 	window1: recordFrameIntervals = False
133.7345 	DATA 	Keypress: left
133.7478 	EXP 	fixation: autoDraw = False
133.7478 	EXP 	grating: autoDraw = False
133.7480 	EXP 	window1: recordFrameIntervals = False
134.7317 	EXP 	fixation: autoDraw = True
135.7316 	EXP 	fixation: autoDraw = False
135.7481 	EXP 	grating: autoDraw = True
135.7481 	EXP 	grating: tex = 'sin'
136.0481 	EXP 	grating: autoDraw = False
136.0501 	EXP 	window1: recordFrameIntervals = False
136.0512 	DATA 	Keypress: left
136.0647 	EXP 	fixation: autoDraw = False
136.0647 	EXP 	grating: autoDraw = False
136.0649 	EXP 	window1: recordFrameIntervals = False
137.0493 	EXP 	fixation: autoDraw = True
138.0646 	EXP 	fixation: autoDraw = False
138.0646 	EXP 	grating: autoDraw = True
138.0646 	EXP 	grating: tex = 'sin'
138.1836 	EXP 	window1: recordFrameIntervals = False
138.1847 	DATA 	Keypress: right
138.1984 	EXP 	fixation: autoDraw = False
138.1984 	EXP 	grating: autoDraw = False
138.1986 	EXP 	window1: recordFrameIntervals = False
139.1822 	EXP 	fixation: autoDraw = True
140.1816 	EXP 	fixation: autoDraw = False
140.1981 	EXP 	grating: autoDraw = True
140.1981 	EXP 	grating: tex = 'sin'
140.4981 	EXP 	grating: autoDraw = False
140.6336 	EXP 	window1: recordFrameIntervals = False
140.6346 	DATA 	Keypress: left
140.6483 	EXP 	fixation: autoDraw = False
140.6483 	EXP 	grating: autoDraw = False
140.6484 	EXP 	window1: recordFrameIntervals = False
141.6330 	EXP 	fixation: autoDraw = True
142.6484 	EXP 	fixation: autoDraw = False
142.6484 	EXP 	grating: autoDraw = True
142.6484 	EXP 	grating: tex = 'sin'
142.9481 	EXP 	grating: autoDraw = False
143.0335 	EXP 	window1: recordFrameIntervals = False
143.0346 	DATA 	Keypress: left
143.0484 	EXP 	fixation: autoDraw = False
143.0484 	EXP 	grating: autoDraw = False
143.0486 	EXP 	window1: recordFrameIntervals = False
144.0322 	EXP 	fixation: autoDraw = True
145.0315 	EXP 	fixation: autoDraw = False
145.0481 	EXP 	grating: autoDraw = True
145.0481 	EXP 	grating: tex = 'sin'
145.3171 	EXP 	window1: recordFrameIntervals = False
145.3179 	DATA 	Keypress: right
145.3316 	EXP 	fixation: autoDraw = False
145.3316 	EXP 	grating: autoDraw = False
145.3318 	EXP 	window1: recordFrameIntervals = False
146.3157 	EXP 	fixation: autoDraw = True
147.3151 	EXP 	fixation: autoDraw = False
147.3317 	EXP 	grating: autoDraw = True
147.3317 	EXP 	grating: tex = 'sin'
147.6320 	EXP 	grating: autoDraw = False
147.6339 	EXP 	window1: recordFrameIntervals = False
147.6349 	DATA 	Keypress: right
147.6486 	EXP 	fixation: autoDraw = False
147.6486 	EXP 	grating: autoDraw = False
147.6488 	EXP 	window1: recordFrameIntervals = False
148.6322 	EXP 	fixation: autoDraw = True
149.6317 	EXP 	fixation: autoDraw = False
149.6485 	EXP 	grating: autoDraw = True
149.6485 	EXP 	grating: tex = 'sin'
149.9485 	EXP 	grating: autoDraw = False
150.0004 	EXP 	window1: recordFrameIntervals = False
150.0014 	DATA 	Keypress: right
150.0154 	EXP 	fixation: autoDraw = False
150.0154 	EXP 	grating: autoDraw = False
150.0156 	EXP 	window1: recordFrameIntervals = False
150.9985 	EXP 	fixation: autoDraw = True
151.9985 	EXP 	fixation: autoDraw = False
152.0153 	EXP 	grating: autoDraw = True
152.0153 	EXP 	grating: tex = 'sin'
152.3152 	EXP 	grating: autoDraw = False
152.3341 	EXP 	window1: recordFrameIntervals = False
152.3352 	DATA 	Keypress: right
152.3487 	EXP 	fixation: autoDraw = False
152.3487 	EXP 	grating: autoDraw = False
152.3489 	EXP 	window1: recordFrameIntervals = False
153.3317 	EXP 	fixation: autoDraw = True
154.3317 	EXP 	fixation: autoDraw = False
154.3484 	EXP 	grating: autoDraw = True
154.3484 	EXP 	grating: tex = 'sin'
154.6488 	EXP 	grating: autoDraw = False
154.6676 	EXP 	window1: recordFrameIntervals = False
154.6687 	DATA 	Keypress: right
154.6821 	EXP 	fixation: autoDraw = False
154.6821 	EXP 	grating: autoDraw = False
154.6823 	EXP 	window1: recordFrameIntervals = False
155.6659 	EXP 	fixation: autoDraw = True
156.6653 	EXP 	fixation: autoDraw = False
156.6820 	EXP 	grating: autoDraw = True
156.6820 	EXP 	grating: tex = 'sin'
156.9820 	EXP 	grating: autoDraw = False
157.0172 	EXP 	window1: recordFrameIntervals = False
157.0183 	DATA 	Keypress: right
157.0317 	EXP 	fixation: autoDraw = False
157.0317 	EXP 	grating: autoDraw = False
157.0319 	EXP 	window1: recordFrameIntervals = False
158.0157 	EXP 	fixation: autoDraw = True
159.0154 	EXP 	fixation: autoDraw = False
159.0318 	EXP 	grating: autoDraw = True
159.0318 	EXP 	grating: tex = 'sin'
159.3320 	EXP 	grating: autoDraw = False
159.4009 	EXP 	window1: recordFrameIntervals = False
159.4020 	DATA 	Keypress: right
159.4153 	EXP 	fixation: autoDraw = False
159.4153 	EXP 	grating: autoDraw = False
159.4155 	EXP 	window1: recordFrameIntervals = False
160.3992 	EXP 	fixation: autoDraw = True
161.3985 	EXP 	fixation: autoDraw = False
161.4155 	EXP 	grating: autoDraw = True
